Team_ID,game_id,game_date,matchup,result,wins,losses,W_PCT,MIN,FGM,FGA,team_fg_pct,FG3M,FG3A,FG3_PCT,FTM,FTA,team_ft_pct,OREB,DREB,team_rebounds,team_assists,STL,BLK,team_turnovers,PF,team_points
1610612750,0022400704,"FEB 03, 2025",MIN vs. SAC,L,27,23,0.54,240,43,94,0.457,12,40,0.3,16,16,1.0,11,25,36,28,5,8,8,16,114
1610612750,0022400690,"FEB 01, 2025",MIN vs. WAS,L,27,22,0.551,240,38,93,0.409,12,40,0.3,15,18,0.833,11,36,47,29,10,3,14,16,103
1610612750,0022400677,"JAN 30, 2025",MIN @ UTA,W,27,21,0.563,240,49,82,0.598,21,38,0.553,19,24,0.792,9,30,39,38,5,9,12,18,138
1610612750,0022400672,"JAN 29, 2025",MIN @ PHX,W,26,21,0.553,240,42,75,0.56,13,29,0.448,24,27,0.889,4,30,34,26,8,6,14,19,121
1610612750,0022400656,"JAN 27, 2025",MIN vs. ATL,W,25,21,0.543,240,34,86,0.395,12,40,0.3,20,29,0.69,14,37,51,18,13,4,16,18,100
1610612750,0022400634,"JAN 25, 2025",MIN vs. DEN,W,24,21,0.533,240,53,95,0.558,14,30,0.467,13,15,0.867,18,27,45,38,14,4,16,14,133
1610612750,0022400614,"JAN 22, 2025",MIN @ DAL,W,23,21,0.523,240,37,81,0.457,11,29,0.379,30,34,0.882,9,30,39,26,10,8,11,18,115
1610612750,0022400601,"JAN 20, 2025",MIN @ MEM,L,22,21,0.512,240,36,93,0.387,14,43,0.326,20,27,0.741,17,35,52,25,5,6,16,26,106
1610612750,0022400590,"JAN 18, 2025",MIN vs. CLE,L,22,20,0.524,240,43,90,0.478,15,38,0.395,16,19,0.842,9,33,42,27,4,4,7,19,117
1610612750,0022400578,"JAN 17, 2025",MIN @ NYK,W,22,19,0.537,240,42,79,0.532,22,40,0.55,10,14,0.714,11,35,46,23,5,2,15,16,116
1610612750,0022400565,"JAN 15, 2025",MIN vs. GSW,L,21,19,0.525,240,38,86,0.442,17,37,0.459,22,29,0.759,16,25,41,21,4,7,9,17,115
1610612750,0022400548,"JAN 13, 2025",MIN @ WAS,W,21,18,0.538,240,41,83,0.494,14,37,0.378,24,31,0.774,14,39,53,20,8,6,18,15,120
1610612750,0022400535,"JAN 11, 2025",MIN vs. MEM,L,20,18,0.526,240,47,83,0.566,17,42,0.405,14,19,0.737,7,34,41,37,7,5,18,16,125
1610612750,0022400519,"JAN 09, 2025",MIN @ ORL,W,20,17,0.541,240,34,85,0.4,12,34,0.353,24,31,0.774,14,36,50,21,9,4,8,19,104
1610612750,0022400505,"JAN 07, 2025",MIN @ NOP,W,19,17,0.528,240,38,89,0.427,15,44,0.341,13,19,0.684,11,42,53,26,9,8,16,17,104
1610612750,0022400500,"JAN 06, 2025",MIN vs. LAC,W,18,17,0.514,240,41,92,0.446,16,39,0.41,10,17,0.588,17,38,55,24,6,5,14,20,108
1610612750,0022400479,"JAN 04, 2025",MIN @ DET,L,17,17,0.5,240,34,80,0.425,16,40,0.4,21,26,0.808,7,26,33,20,7,4,17,21,105
1610612750,0022400464,"JAN 02, 2025",MIN vs. BOS,L,17,16,0.515,240,37,74,0.5,21,39,0.538,20,22,0.909,11,30,41,24,1,2,15,11,115
1610612750,0022400452,"DEC 31, 2024",MIN @ OKC,L,17,15,0.531,240,39,79,0.494,15,38,0.395,12,12,1.0,10,33,43,21,3,7,23,18,105
1610612750,0022400441,"DEC 29, 2024",MIN vs. SAS,W,17,14,0.548,240,43,100,0.43,11,44,0.25,15,19,0.789,18,38,56,23,4,5,10,23,112
1610612750,0022400422,"DEC 27, 2024",MIN @ HOU,W,16,14,0.533,240,42,83,0.506,21,43,0.488,8,16,0.5,10,30,40,25,8,6,14,22,113
